GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4,
2.01003E+11,3/4/10,United States,Arlington,Anti-Government extremists,1,,,,,1,2,Government (General),,,North America,Armed Assault,,,Firearms,,,,
2.01002E+11,2/4/10,Australia,Perth,Combat 18,1,,,,,0,0,Religious Figures/Institutions,,,Australasia & Oceania,Armed Assault,,,Firearms,,,,
2.00911E+11,11/5/09,United States,Killeen,Jihadi-inspired extremists,0,,,,,13,32,Military,,,North America,Armed Assault,,,Firearms,,,,
2.00906E+11,6/10/09,United States,Washington,Anti-Semitic extremists,1,,,,,1,Unknown,Business,,,North America,Armed Assault,,,Firearms,,,,
2.00906E+11,6/1/09,United States,Little Rock,Jihadi-inspired extremists,0,,,,,1,1,Military,,,North America,Armed Assault,,,Firearms,,,,
2.00905E+11,5/31/09,United States,Wichita,Anti-Abortion extremists,0,,,,,1,0,Abortion Related,,,North America,Armed Assault,,,Firearms,,,,
2.00905E+11,5/30/09,United States,Arivaca,Minutemen American Defense,0,,,,,2,1,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
2.00904E+11,4/6/09,France,Bonifacio,Unknown,0,,,,,0,0,Police,,,Western Europe,Armed Assault,,,Firearms,,,,
2.00903E+11,3/20/09,France,Lyon,Unknown,0,,,,,0,10,Private Citizens & Property,,,Western Europe,Armed Assault,,,Firearms,,,,
2.00807E+11,7/27/08,United States,Knoxville,Anti-Liberal extremists,0,,,,,2,7,Religious Figures/Institutions,,,North America,Armed Assault,,,Firearms,,,,
2.00712E+11,12/1/07,France,Capbreton,Basque Fatherland and Freedom (ETA),0,,,,,2,0,Police,,,Western Europe,Assassination,,,Firearms,,,,
2.00711E+11,11/14/07,France,Ajaccio,Unknown,0,,,,,0,0,Government (General),,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,
2.00708E+11,8/28/07,France,Linguizzetta,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Armed Assault,,,Firearms,,,,
2.00607E+11,7/28/06,United States,Seattle,Anti-Semitic extremists,0,,,,,1,5,Business,,,North America,Armed Assault,,,Firearms,,,,
2.00604E+11,4/22/06,France,Coti Chiavari,Corsican National Liberation Front (FLNC),1,,,,,0,2,Private Citizens & Property,Private Citizens & Property,,Western Europe,Hostage Taking (Barricade Incident),Bombing/Explosion,,Firearms,Explosives/Bombs/Dynamite,,,
2.00603E+11,3/4/06,France,Unknown,Corsican National Liberation Front (FLNC),0,,,,,0,0,Business,,,Western Europe,Bombing/Explosion,Hostage Taking (Kidnapping),,Explosives/Bombs/Dynamite,Firearms,,,
2.00602E+11,2/9/06,France,Ghisonaccia,Unknown,0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,
2.00503E+11,3/30/05,United States,Bloomington,Anti-Abortion extremists,0,,,,,0,0,Abortion Related,,,North America,Facility/Infrastructure Attack,,,Incendiary,Firearms,,,
2.00503E+11,3/8/05,France,Corte,Unknown,0,,,,,0,0,Police,,,Western Europe,Armed Assault,,,Firearms,,,,
2.0021E+11,10/3/02,United States,New York City,Anti-Kim Jong-il extremists,0,,,,,0,0,Government (Diplomatic),,,North America,Armed Assault,,,Firearms,,,,
2.00202E+11,7/4/02,United States,Los Angeles,Anti-Israeli extremists,0,,,,,3,4,Airports and Aircraft,Private Citizens & Property,,North America,Armed Assault,,,Firearms,Melee,,,
2.00111E+11,11/6/01,France,Borgo,Unknown,0,,,,,0,0,Police,,,Western Europe,Armed Assault,,,Firearms,,,,
2.00108E+11,8/18/01,France,Ajaccio,Corsican National Liberation Front (FLNC),0,,,,,0,0,Private Citizens & Property,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,
2.00012E+11,12/31/00,United States,Overland Park,Anti-Abortion extremists,0,,,,,0,0,Abortion Related,,,North America,Facility/Infrastructure Attack,,,Firearms,,,,
2.0001E+11,10/17/00,Australia,Normahurst,Unknown,0,,,,,0,0,Transportation,,,Australasia & Oceania,Armed Assault,,,Firearms,,,,
2.00008E+11,8/7/00,France,L'Ile Rousse,Unknown,0,,,,,2,1,Private Citizens & Property,,,Western Europe,Assassination,,,Firearms,,,,
1.99908E+11,8/10/99,United States,Granada Hills,Aryan Nation,0,,,,,0,5,Religious Figures/Institutions,,,North America,Armed Assault,,,Firearms,,,,
1.99907E+11,7/4/99,United States,Bloomington,World Church of the Creator,0,,,,,2,0,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
1.99907E+11,7/3/99,United States,Springfield,World Church of the Creator,0,,,,,0,1,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
1.99907E+11,7/3/99,United States,Decatur,World Church of the Creator,0,,,,,0,1,Religious Figures/Institutions,,,North America,Armed Assault,,,Firearms,,,,
1.99907E+11,7/2/99,United States,Northbrook,World Church of the Creator,0,,,,,0,1,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
1.99907E+11,7/2/99,United States,Skokie,World Church of the Creator,0,,,,,1,0,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
1.99907E+11,7/2/99,United States,Chicago,World Church of the Creator,0,,,,,0,6,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
1.99907E+11,7/1/99,United States,Redding,White extremists,0,,,,,2,0,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
1.99904E+11,4/20/99,United States,Littleton,Unknown,0,,,,,15,24,Educational Institution,,,North America,Hostage Taking (Kidnapping),Armed Assault,,Firearms,Firearms,Explosives/Bombs/Dynamite,,
1.99811E+11,11/1/98,Australia,Lakemba,Unknown,0,,,,,0,0,Police,,,Australasia & Oceania,Armed Assault,,,Firearms,,,,
1.9981E+11,10/23/98,United States,Amherst,Army of God,0,,,,,1,0,Abortion Related,,,North America,Armed Assault,,,Firearms,,,,
1.99807E+11,7/24/98,United States,Washington,Unknown,0,,,,,2,1,Government (General),,,North America,Armed Assault,,,Firearms,,,,
1.99802E+11,2/6/98,France,Ajaccio,Corsican National Liberation Front (FLNC),0,,,,,1,0,Government (Diplomatic),,,Western Europe,Assassination,,,Firearms,,,,
